"country","Year","station","yield","log_yield","latitude","longitude","precipitation","DATE","avg_precipitation","anthesis_rainfall","tassling_avg_rainfall","avg_temp"
"Zimbabwe",2021,"Shamva",11.0904649859944,2.40608572888677,-17.3,31.55,1725,2021-02-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.0904649859944,2.40608572888677,-17.3,31.55,1131,2021-03-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.0904649859944,2.40608572888677,-17.3,31.55,257,2021-04-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.0904649859944,2.40608572888677,-17.3,31.55,0,2021-10-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.0904649859944,2.40608572888677,-17.3,31.55,855,2021-11-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Shamva",11.0904649859944,2.40608572888677,-17.3,31.55,970,2021-12-01,1138.16666666667,619,1881,28
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0553965714286,2.40291868625113,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",11.0380251428571,2.40134614286008,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.9446298412698,2.3928489105098,-17.78,31.32,1240,2021-12-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.92096,2.39068387854063,-17.78,31.32,1358,2021-01-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.92096,2.39068387854063,-17.78,31.32,2050,2021-02-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.92096,2.39068387854063,-17.78,31.32,863,2021-03-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.92096,2.39068387854063,-17.78,31.32,801,2021-04-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.92096,2.39068387854063,-17.78,31.32,315,2021-10-01,1060.16666666667,589,1704,19.4097972972973
"Zimbabwe",2021,"Harare",10.92096,2.39068387854063,-17.78,31.32,1740,2021-11-01,1060.16666666667,589,1704,19.4097972972973
