"country","year","location","yield","region","average_temperature","SUM_PRCP","log_yield"
"Zimbabwe","2022","Chisumbanje",0.433192156862745,"Region 4",20.25,161,-0.836573869137518
"Zimbabwe","2022","Chisumbanje",0.35666106442577,"Region 4",20.25,161,-1.03096934753512
"Zimbabwe","2022","Chisumbanje",0.577075630252101,"Region 4",20.25,161,-0.549781946103296
"Zimbabwe","2022","Chisumbanje",0.139563025210084,"Region 4",20.25,161,-1.96923898612805
"Zimbabwe","2022","Chisumbanje",0.4352,"Region 4",20.25,161,-0.831949583440404
"Zimbabwe","2022","Chisumbanje",0.378711484593838,"Region 4",20.25,161,-0.970980618170774
"Zimbabwe","2022","Chisumbanje",1.01754621848739,"Region 4",20.25,161,0.0173940608778242
"Zimbabwe","2022","Chisumbanje",0.779831932773109,"Region 4",20.25,161,-0.248676853319375
"Zimbabwe","2022","Chisumbanje",0.468436974789916,"Region 4",20.25,161,-0.758353711881492
"Zimbabwe","2022","Chisumbanje",1.14884481792717,"Region 4",20.25,161,0.138756931370454
"Zimbabwe","2022","Chisumbanje",1.12023305322129,"Region 4",20.25,161,0.113536746893985
"Zimbabwe","2022","Chisumbanje",0.724616246498599,"Region 4",20.25,161,-0.322113079438539
"Zimbabwe","2022","Chisumbanje",0.107670588235294,"Region 4",20.25,161,-2.22867882185288
"Zimbabwe","2022","Chisumbanje",0.111686274509804,"Region 4",20.25,161,-2.19206145861465
"Zimbabwe","2022","Chisumbanje",0.683885714285714,"Region 4",20.25,161,-0.379964459697347
"Zimbabwe","2022","Chisumbanje",0.524190476190476,"Region 4",20.25,161,-0.645900156532435
"Zimbabwe","2022","Chisumbanje",0.300082913165266,"Region 4",20.25,161,-1.20369646529353
"Zimbabwe","2022","Chisumbanje",1.24063193277311,"Region 4",20.25,161,0.215620873007264
"Zimbabwe","2022","Chisumbanje",0.257219047619048,"Region 4",20.25,161,-1.35782723174398
"Zimbabwe","2022","Chisumbanje",0.901485714285714,"Region 4",20.25,161,-0.103711083069189
"Zimbabwe","2022","Chisumbanje",0.594715966386555,"Region 4",20.25,161,-0.519671354830161
"Zimbabwe","2022","Chisumbanje",0.298720448179272,"Region 4",20.25,161,-1.20824709885753
"Zimbabwe","2022","Chisumbanje",0.0958386554621849,"Region 4",20.25,161,-2.34508917369729
"Zimbabwe","2022","Chisumbanje",0.0320179271708683,"Region 4",20.25,161,-3.44145930895971
"Zimbabwe","2022","Chisumbanje",0.485163025210084,"Region 4",20.25,161,-0.723270310071402
"Zimbabwe","2022","Chisumbanje",0.168605042016807,"Region 4",20.25,161,-1.78019632866102
"Zimbabwe","2022","Chisumbanje",0.60756974789916,"Region 4",20.25,161,-0.498288299001111
"Zimbabwe","2022","Chisumbanje",0.765113725490196,"Region 4",20.25,161,-0.267730795433021
"Zimbabwe","2022","Chisumbanje",0.668342857142857,"Region 4",20.25,161,-0.402953977922046
"Zimbabwe","2022","Chisumbanje",0.840067226890756,"Region 4",20.25,161,-0.174273358334364
"Zimbabwe","2022","Chisumbanje",0.219105882352941,"Region 4",20.25,161,-1.51820018494129
"Zimbabwe","2022","Chisumbanje",0.496277871148459,"Region 4",20.25,161,-0.700619285034505
"Zimbabwe","2022","Chisumbanje",0.19189243697479,"Region 4",20.25,161,-1.65082028802814
"Zimbabwe","2022","Chisumbanje",0.771764705882353,"Region 4",20.25,161,-0.259075560540273
"Zimbabwe","2022","Chisumbanje",0.538819047619048,"Region 4",20.25,161,-0.618375483142344
"Zimbabwe","2022","Chisumbanje",0.693351260504202,"Region 4",20.25,161,-0.366218538792711
"Zimbabwe","2022","Chisumbanje",0.553411764705882,"Region 4",20.25,161,-0.591652952899946
"Zimbabwe","2022","Chisumbanje",1.1541512605042,"Region 4",20.25,161,0.143365234456648
"Zimbabwe","2022","Chisumbanje",0.731464425770308,"Region 4",20.25,161,-0.312706691597476
"Zimbabwe","2022","Chisumbanje",0.744336134453781,"Region 4",20.25,161,-0.29526255255638
"Zimbabwe","2022","Chisumbanje",0.0780728291316527,"Region 4",20.25,161,-2.55011318110955
"Zimbabwe","2022","Chisumbanje",0.716190476190476,"Region 4",20.25,161,-0.333809119201729
"Zimbabwe","2022","Chisumbanje",0.698872829131653,"Region 4",20.25,161,-0.358286485872807
"Zimbabwe","2022","Chisumbanje",0.248112044817927,"Region 4",20.25,161,-1.39387484122449
"Zimbabwe","2022","Chisumbanje",0.314801120448179,"Region 4",20.25,161,-1.15581420320704
"Zimbabwe","2022","Chisumbanje",1.18991596638655,"Region 4",20.25,161,0.173882688148086
"Zimbabwe","2022","Chisumbanje",0.900302521008403,"Region 4",20.25,161,-0.105024437684574
"Zimbabwe","2022","Chisumbanje",1.54779607843137,"Region 4",20.25,161,0.4368320342106
"Zimbabwe","2022","Chisumbanje",0.797257142857143,"Region 4",20.25,161,-0.226578013762844
