"country","year","location","yield","anthesisDate","Asi","plant_height","ear_position","stem_lodging","Epp","Ear_rot","region","total_precipitation","average_temperature","log_yield"
"Zimbabwe","2021","Chisumbanje",2.62704582633053,"83","0","201","0.64179104477611904","6.25","0.8125","7.6923076923076898","Region 4",148.6,22.25,0.965859954910038
"Zimbabwe","2021","Chisumbanje",4.40454991596639,"82","0","217","0.54838709677419395","9.67741935483871","0.77419354838709697","4.1666666666666696","Region 4",148.6,22.25,1.4826380784508
"Zimbabwe","2021","Chisumbanje",3.40720224089636,"82","-1","164","0.457317073170732","3.2258064516128999","0.70967741935483897","9.0909090909090899","Region 4",148.6,22.25,1.22589149732105
"Zimbabwe","2021","Chisumbanje",4.45488224089636,"82","1","208","0.59134615384615397","0","0.8","4.1666666666666696","Region 4",148.6,22.25,1.49400062755352
"Zimbabwe","2021","Chisumbanje",3.98203697478992,"91","2","173","0.60693641618497096","3.7037037037037002","0.41","9.0909090909090899","Region 4",148.6,22.25,1.38179349108104
"Zimbabwe","2021","Chisumbanje",3.75265882352941,"81","2","210","0.55714285714285705","19.354838709677399","0.67741935483870996","4.7619047619047601","Region 4",148.6,22.25,1.32246460835451
"Zimbabwe","2021","Chisumbanje",3.93784470588235,"81","0","207","0.458937198067633","19.354838709677399","0.80645161290322598","4","Region 4",148.6,22.25,1.37063354467104
"Zimbabwe","2021","Chisumbanje",2.7774780952381,"84","3","226","0.53982300884955703","6.6666666666666696","0.73333333333333295","18.181818181818201","Region 4",148.6,22.25,1.02154335599762
"Zimbabwe","2021","Chisumbanje",4.44423170868347,"84","0","207","0.55072463768115898","7.1428571428571397","0.75","9.5238095238095202","Region 4",148.6,22.25,1.49160701008591
"Zimbabwe","2021","Chisumbanje",3.56389647058824,"82","-1","195","0.43589743589743601","21.2121212121212","0.78787878787878796","11.538461538461499","Region 4",148.6,22.25,1.27085446053014
"Zimbabwe","2021","Chisumbanje",4.56795428571429,"86","1","200","0.56000000000000005","3.125","0.8125","11.538461538461499","Region 4",148.6,22.25,1.51906546479801
"Zimbabwe","2021","Chisumbanje",3.79046722689076,"80","-1","184","0.54347826086956497","14.705882352941201","0.88235294117647101","10","Region 4",148.6,22.25,1.33248929035912
"Zimbabwe","2021","Chisumbanje",3.63862050420168,"90","4","204","0.61764705882352899","4","0.64","12.5","Region 4",148.6,22.25,1.29160462745451
"Zimbabwe","2021","Chisumbanje",3.99542857142857,"80","1","191","0.54450261780104703","6.25","0.78125","4","Region 4",148.6,22.25,1.38515085041781
"Zimbabwe","2021","Chisumbanje",3.41238857142857,"85","1","208","0.53846153846153799","13.7931034482759","0.55172413793103403","6.25","Region 4",148.6,22.25,1.22741250691673
"Zimbabwe","2021","Chisumbanje",4.22194554621849,"82","2","188","0.60638297872340396","9.0909090909090899","0.72727272727272696","8.3333333333333304","Region 4",148.6,22.25,1.44029605171588
"Zimbabwe","2021","Chisumbanje",3.99913232492997,"82","3","187","0.51871657754010703","0","0.78125","8","Region 4",148.6,22.25,1.3860774188221
