"country","year","location","yield"
"Zambia",2020,"Zamseed RF 1","5.83766406803685"
"Zambia",2020,"Zamseed RF 1","8.29628428355958"
"Zambia",2020,"Zamseed RF 1","8.8310284629981"
"Zambia",2020,"Zamseed RF 1","7.57942857142857"
"Zambia",2020,"Zamseed RF 1","9.60107967397485"
"Zambia",2020,"Zamseed RF 1","9.95183556866455"
"Zambia",2020,"Zamseed RF 1","11.3778747011"
"Zambia",2020,"Zamseed RF 1","8.19218754578755"
"Zambia",2020,"Zamseed RF 1","7.58584615384615"
"Zambia",2020,"Zamseed RF 1","7.69830860003576"
"Zambia",2020,"Zamseed RF 1","6.12692642561612"
"Zambia",2020,"Zamseed RF 1","8.13249696186167"
"Zambia",2020,"Zamseed RF 1","8.12476990796319"
"Zambia",2020,"Zamseed RF 1","10.6810382819795"
"Zambia",2020,"Zamseed RF 1","11.2631951066141"
"Zambia",2020,"Zamseed RF 1","9.0007637415622"
"Zambia",2020,"Zamseed RF 1","9.47375112605042"
"Zambia",2020,"Zamseed RF 1","3.16323137254902"
"Zambia",2020,"Zamseed RF 1","7.50493221288515"
"Zambia",2020,"Zamseed RF 1","9.76447350912779"
"Zambia",2020,"Zamseed RF 1","8.24749685979655"
"Zambia",2020,"Zamseed RF 1","7.68976442363205"
"Zambia",2020,"Zamseed RF 1","7.82071216975999"
"Zambia",2020,"Zamseed RF 1","9.70103501006036"
"Zambia",2020,"Zamseed RF 1","7.76104640116916"
"Zambia",2020,"Zamseed RF 1","7.0445212626227"
"Zambia",2020,"Zamseed RF 1","11.1547992409867"
"Zambia",2020,"Zamseed RF 1","5.86768500389847"
"Zambia",2020,"Zamseed RF 1","9.47501176470588"
"Zambia",2020,"Zamseed RF 1","8.86679316888046"
"Zambia",2020,"Zamseed RF 1","8.16373644232468"
"Zambia",2020,"Zamseed RF 1","8.51250513157644"
"Zambia",2020,"Zamseed RF 1","7.85544724556489"
"Zambia",2020,"Zamseed RF 1","6.62897932206591"
"Zambia",2020,"Zamseed RF 1","9.07433122171946"
"Zambia",2020,"Zamseed RF 1","11.2109852004378"
"Zambia",2020,"Zamseed RF 1","8.93289013383131"
"Zambia",2020,"Zamseed RF 1","6.47240146227983"
"Zambia",2020,"Zamseed RF 1","9.2629847765193"
"Zambia",2020,"Zamseed RF 1","9.46196078431372"
"Zambia",2020,"Zamseed RF 1","9.26052173913043"
"Zambia",2020,"Zamseed RF 1","5.33452549019608"
"Zambia",2020,"Zamseed RF 1","5.86863865546218"
"Zambia",2020,"Zamseed RF 1","6.5203153426319"
"Zambia",2020,"Zamseed RF 1","7.01775826106443"
"Zambia",2020,"Zamseed RF 1","7.73430350963915"
"Zambia",2020,"Zamseed RF 1","6.02749601588208"
"Zambia",2020,"Zamseed RF 1","4.22177399230879"
"Zambia",2020,"Zamseed RF 1","7.1389184"
"Zambia",2020,"Zamseed RF 1","7.40713680672269"
"Zambia",2020,"Zamseed RF 1","9.26235869482928"
"Zambia",2020,"Zamseed RF 1","8.07698925646208"
"Zambia",2021,"Magobo","8.89112184064377"
"Zambia",2021,"Magobo","10.6910470588235"
"Zambia",2021,"Magobo","11.9866572956455"
"Zambia",2021,"Magobo","11.6467899159664"
"Zambia",2021,"Magobo","5.52390805585392"
"Zambia",2021,"Magobo","11.6364517047583"
"Zambia",2021,"Magobo","10.2462745098039"
"Zambia",2021,"Magobo","11.5630459259259"
"Zambia",2021,"Magobo","12.4087182072829"
"Zambia",2021,"Magobo","12.1494949033702"
"Zambia",2021,"Magobo","11.1403428571429"
"Zambia",2021,"Magobo","11.5237420494578"
"Zambia",2021,"Magobo","12.3033424657534"
"Zambia",2021,"Magobo","12.6756133447391"
"Zambia",2021,"Magobo","8.94544621676892"
"Zambia",2021,"Magobo","9.42176673928831"
"Zambia",2021,"Magobo","7.38578823529412"
"Zambia",2021,"Magobo","13.4160575539568"
"Zambia",2021,"Magobo","8.85688086434574"
"Zambia",2021,"Magobo","7.63436704242673"
"Zambia",2021,"Magobo","7.70291092436975"
"Zambia",2021,"Magobo","8.31094744763577"
"Zambia",2021,"Magobo","9.13530186150409"
"Zambia",2021,"Magobo","10.4551316967732"
"Zambia",2021,"Magobo","7.61355529411765"
"Zambia",2021,"Magobo","8.21275495307612"
"Zambia",2021,"Magobo","9.99813480592237"
"Zambia",2021,"Magobo","13.3126561945449"
"Zambia",2021,"Magobo","11.0865387208776"
"Zambia",2021,"Magobo","10.0020504201681"
"Zambia",2021,"Magobo","6.83789176470588"
"Zambia",2021,"Magobo","12.1921895158063"
